iter	RMSE
0	27.05102614
1	26.93521904
2	26.83142583
3	26.71972836
4	26.60936657
5	26.50512523
6	26.39896745
7	26.29182517
8	26.19175787
9	26.09207352
10	25.99278062
11	25.89835076
12	25.79899748
13	25.70310877
14	25.61334161
15	25.51814497
16	25.42736338
17	25.33607251
18	25.24312319
19	25.15762588
20	25.07261338
21	24.98501703
22	24.90546808
23	24.82520026
24	24.74887292
25	24.67373343
26	24.59645331
27	24.51537873
28	24.43415184
29	24.36108531
30	24.2882072
31	24.21769714
32	24.14522785
33	24.07447961
34	24.00678502
35	23.93509638
36	23.8696929
37	23.80234822
38	23.73623689
39	23.67536748
40	23.60867909
41	23.54775989
42	23.48555613
43	23.42753214
44	23.36569059
45	23.3088018
46	23.24935472
47	23.19509693
48	23.14123282
49	23.08742799
50	23.03045721
51	22.97650039
52	22.92244312
53	22.87014605
54	22.82096013
55	22.77289716
56	22.72531615
57	22.66947112
58	22.6166619
59	22.567654
60	22.51495042
61	22.47021873
62	22.42270874
63	22.38079423
64	22.33183652
65	22.28843253
66	22.23795241
67	22.19550209
68	22.14911915
69	22.10748982
70	22.06132439
71	22.01467778
72	21.97053556
73	21.93303261
74	21.89396125
75	21.85467467
76	21.81549777
77	21.76865006
78	21.73097542
79	21.69316131
80	21.65469966
81	21.62147325
82	21.58237968
83	21.54771902
84	21.51149853
85	21.47334852
86	21.44096632
87	21.4026301
88	21.36617928
89	21.331928
90	21.30025857
91	21.27129504
92	21.2378624
93	21.20533141
94	21.17401761
95	21.14460491
96	21.11396617
97	21.08585248
98	21.05392505
99	21.02466853
100	20.99816808
101	20.96683026
102	20.9313082
103	20.89780491
104	20.86470607
105	20.83807886
106	20.810143
107	20.78517657
108	20.75869283
109	20.73257143
110	20.70359975
111	20.67913152
112	20.65534219
113	20.63429441
114	20.61116307
115	20.58789121
116	20.56541061
117	20.53798103
118	20.50880326
119	20.48719358
120	20.46366486
121	20.44461912
122	20.4207186
123	20.39860355
124	20.37716288
125	20.35869004
126	20.33617485
127	20.31337911
128	20.28593281
129	20.26043099
130	20.23939444
131	20.22106686
132	20.200793
133	20.17734101
134	20.15682944
135	20.13939719
136	20.1141204
137	20.09676784
138	20.07911214
139	20.05810019
140	20.04089548
141	20.02277608
142	20.00629351
143	19.98738096
144	19.96729984
145	19.94893132
146	19.93273637
147	19.91791068
148	19.90132521
149	19.88654396
150	19.87171115
151	19.85571898
152	19.841175
153	19.82629873
154	19.81093801
155	19.79620388
156	19.77951325
157	19.76187275
158	19.74823447
159	19.7331643
160	19.71625404
161	19.70137418
162	19.68394631
163	19.66663595
164	19.65335532
165	19.6406857
166	19.62504987
167	19.60771176
168	19.59451697
169	19.58273817
170	19.5673623
171	19.55383504
172	19.54105803
173	19.53026496
174	19.51725166
175	19.50055159
176	19.48824387
177	19.47116451
178	19.45749519
179	19.4435866
180	19.43027411
181	19.41843878
182	19.40690764
183	19.39539172
184	19.38251336
185	19.37061779
186	19.35811362
187	19.34528277
188	19.33440007
189	19.32239242
190	19.31215965
191	19.30135339
192	19.29044036
193	19.28011847
194	19.26643479
195	19.25327619
196	19.24210565
197	19.23008287
198	19.21980907
199	19.2071041
200	19.1960573
201	19.18462356
202	19.17173321
203	19.16266731
204	19.15248767
205	19.14208594
206	19.13338968
207	19.12377137
208	19.11122382
209	19.1013299
210	19.09168922
211	19.08173413
212	19.0717538
213	19.05813306
214	19.05038508
215	19.04028124
216	19.03188948
217	19.02289383
218	19.01395818
219	19.00215368
220	18.99395545
221	18.98304584
222	18.97461742
223	18.96833142
224	18.95985235
225	18.94851754
226	18.93856157
227	18.92826977
228	18.91668978
229	18.90465384
230	18.89674293
231	18.88671195
232	18.87764461
233	18.86991622
234	18.86138546
235	18.85139311
236	18.84333247
237	18.83653053
238	18.82767104
239	18.81971962
240	18.81354269
241	18.80217079
242	18.79567648
243	18.78589448
244	18.77941249
245	18.77273027
246	18.76506118
247	18.75825798
248	18.74872303
249	18.740381
250	18.73069171
251	18.72251389
252	18.71720084
253	18.70986628
254	18.7013776
255	18.69344166
256	18.68625685
257	18.67509725
258	18.66813413
259	18.66084141
260	18.65219525
261	18.64296234
262	18.63538234
263	18.62853952
264	18.62054043
265	18.60949249
266	18.60151388
267	18.5946029
268	18.58805986
269	18.5799944
270	18.57301977
271	18.5661003
272	18.55903451
273	18.55116603
274	18.54516919
275	18.53791183
276	18.53122538
277	18.52476229
278	18.51505905
279	18.50844244
280	18.50160282
281	18.49537523
282	18.48824411
283	18.48271837
284	18.47695674
285	18.47097487
286	18.46421022
287	18.45782622
288	18.44854543
289	18.44108095
290	18.43524063
291	18.42885553
292	18.42120865
293	18.41443242
294	18.40864345
295	18.40247274
296	18.39755294
297	18.39116876
298	18.38523011
299	18.37763195
300	18.37029403
301	18.36333459
302	18.356869
303	18.3504816
304	18.34302726
305	18.33613625
306	18.32895515
307	18.32201714
308	18.31676884
309	18.31085227
310	18.30496025
311	18.29803975
312	18.29145136
313	18.28538773
314	18.27795457
315	18.27348567
316	18.26513923
317	18.25734755
318	18.25152687
319	18.24483916
320	18.23842924
321	18.23091411
322	18.22604327
323	18.2205234
324	18.21388315
325	18.20864691
326	18.20247119
327	18.19689712
328	18.19319582
329	18.18915818
330	18.18379964
331	18.17746898
332	18.17358379
333	18.16767209
334	18.16230872
335	18.15673656
336	18.15179363
337	18.14655752
338	18.14210363
339	18.1374501
340	18.13307432
341	18.12823967
342	18.12155302
343	18.1174315
344	18.11093054
345	18.10533165
346	18.10098428
347	18.09346377
348	18.08932499
349	18.08371133
350	18.0792503
351	18.07371599
352	18.06788237
353	18.06159797
354	18.05617068
355	18.05164809
356	18.04771301
357	18.04269455
358	18.03765021
359	18.03004444
360	18.02405943
361	18.01881738
362	18.01393009
363	18.00941954
364	18.00554331
365	18.00088937
366	17.9960812
367	17.99215136
368	17.98690582
369	17.98214865
370	17.97655672
371	17.97103894
372	17.96592524
373	17.96072036
374	17.95286946
375	17.94828441
376	17.94421372
377	17.94068245
378	17.9359532
379	17.93175564
380	17.9267366
381	17.92359546
382	17.91810106
383	17.91382602
384	17.90876976
385	17.90464654
386	17.89952273
387	17.89590259
388	17.8923025
389	17.88717512
390	17.88320349
391	17.87896464
392	17.87455894
393	17.87017621
394	17.86473909
395	17.86088576
396	17.85591842
397	17.85135547
398	17.84687139
399	17.84394578
400	17.84051401
401	17.83669756
402	17.83313984
403	17.8291973
404	17.82505005
405	17.81772019
406	17.81473615
407	17.81104558
408	17.80766026
409	17.80462208
410	17.79924869
411	17.79607427
412	17.79066861
413	17.78636936
414	17.78125532
415	17.77675825
416	17.77263757
417	17.76881065
418	17.76432651
419	17.76041177
420	17.75363088
421	17.74983309
422	17.74521569
423	17.74245679
424	17.73937679
425	17.73458255
426	17.73100855
427	17.72474959
428	17.71894257
429	17.71369752
430	17.71068726
431	17.70611516
432	17.70144753
433	17.69728377
434	17.69230024
435	17.6882496
436	17.6852742
437	17.68138555
438	17.67847735
439	17.67383564
440	17.66920428
441	17.66376272
442	17.65764865
443	17.65439365
444	17.65071424
445	17.64647112
446	17.64264773
447	17.63898616
448	17.63339674
449	17.62938434
450	17.62534918
451	17.62188645
452	17.6178155
453	17.61413625
454	17.61089477
455	17.60696707
456	17.60445801
457	17.60101989
458	17.59812721
459	17.59205591
460	17.58900327
461	17.58373164
462	17.57971981
463	17.57765295
464	17.573834
465	17.57032008
466	17.56542671
467	17.56124028
468	17.55767999
469	17.5545564
470	17.55152433
471	17.5485539
472	17.54496801
473	17.54127728
474	17.53509784
475	17.53198896
476	17.52783994
477	17.52455935
478	17.51948478
479	17.51321764
480	17.50865469
481	17.50499116
482	17.50248733
483	17.49928019
484	17.49523422
485	17.49251279
486	17.48931703
487	17.48312581
488	17.47882579
489	17.47609283
490	17.47241931
491	17.46921717
492	17.46573287
493	17.46143332
494	17.45769134
495	17.45472785
496	17.45112068
497	17.44742428
498	17.44445438
499	17.44090097
500	17.43710972
501	17.43214924
502	17.42790751
503	17.42514787
504	17.42207374
505	17.419247
506	17.41671107
507	17.4125874
508	17.40919554
509	17.40435825
510	17.40071678
511	17.39707927
512	17.39328129
513	17.388431
514	17.38515873
515	17.38011105
516	17.37379428
517	17.37068804
518	17.36691643
519	17.364018
520	17.36141356
521	17.35914124
522	17.35530756
523	17.35153952
524	17.34905255
525	17.34629932
526	17.34207889
527	17.33786386
528	17.33422438
529	17.33121482
530	17.32789586
531	17.32398668
532	17.31931248
533	17.31371109
534	17.31007992
535	17.30618953
536	17.30209806
537	17.29738724
538	17.29424626
539	17.28910634
540	17.28495973
541	17.28155853
542	17.27829994
543	17.27400103
544	17.27041311
545	17.26774661
546	17.26478777
547	17.26002885
548	17.25727208
549	17.25376956
550	17.25083634
551	17.2483717
552	17.24573014
553	17.24275956
554	17.23899835
555	17.23493954
556	17.23264134
557	17.23009552
558	17.22824316
559	17.22439097
560	17.22041485
561	17.21678782
562	17.21393457
563	17.21023544
564	17.20657376
565	17.20161544
566	17.19876623
567	17.19536366
568	17.19261013
569	17.18970292
570	17.18710829
571	17.18225779
572	17.17911413
573	17.17595867
574	17.17316858
575	17.16927653
576	17.16429176
577	17.16268969
578	17.15830528
579	17.15354181
580	17.1498358
581	17.14674591
582	17.14222997
583	17.13932901
584	17.13587975
585	17.13322263
586	17.12891074
587	17.12677253
588	17.12340848
589	17.12035167
590	17.11728344
591	17.11403371
